title,author,year,subject,canonicity,note
A Girl Is a Half-Formed Thing,Eimear McBride,2013,2.5,1,Irish girl's traumatic upbringing
A Guest of Honour,Nadine Gordimer,1970,-1,0,Post-colonial African politics; male
A High Wind in Jamaica,Richard Hughes,1929,0.5,-1,Children captured by pirates
A Kestrel for a Knave,Barry Hines,1968,-2,0,Yorkshire boy and his hawk
A Long Way Down,Nick Hornby,2005,0,1,Four suicidal strangers on a rooftop
A Mind at Peace,Ahmet Hamdi Tanpınar,1949,-0.5,0,Istanbul intellectuals; male protagonist
A Model Childhood,Christa Wolf,1976,1.5,-1,Nazi childhood; female narrator
A Month in the Country,James Lloyd Carr,1980,-1.5,0,Duplicate of earlier listing
A New Life,Bernard Malamud,1961,-1.5,-1,Male professor at western college
A Passage to India,E. M. Forster,1924,-1,-1.5,Colonial India; male/female cast
A Passage to India,E. M. Forster,1924,-1,-1.5,Duplicate of A Passage to India
A Portrait of the Artist as a Young Man,James Joyce,1916,-2,-2,Duplicate of Portrait
A Prayer for Owen Meany,John Irving,1989,-1.5,-0.5,New Hampshire boyhood friendship
A Question of Power,Bessie Head,1973,2.5,1,Southern African woman's mental breakdown
A Rabbit Omnibus,John Updike,1971,-2.5,-1,Rabbit Angstrom trilogy; male
A River Called Time,Mia Couto,2002,-0.5,2,Mozambique father returns home
A Sentimental Journey,Laurence Sterne,1768,-1,-3,18th-c. male traveler in France
A Severed Head,Iris Murdoch,1961,0,-1,Sexual roundelay among intellectuals
A Suitable Boy,Vikram Seth,1993,1.5,0,Indian woman seeking a husband
A Thousand Splendid Suns,Khaled Hosseini,2007,3,1,Two Afghan women under Taliban
A Void,Georges Perec,1969,-0.5,-1,Lipogram detective novel
After Midnight,Irmgard Keun,1937,2,-1,Young woman in Nazi Germany
After Sappho,Selby Wynn Schwartz,2022,3,2,Queer women modernists
Alice in Wonderland,Lewis Carroll,1865,1.5,-3,Duplicate
All About H. Hatterr,G. V. Desani,1948,-1.5,1,Anglo-Indian male picaresque
All That Is,James Salter,2013,-1.5,1,Aging male editor's life
All the Names,José Saramago,1997,-0.5,0,Male clerk obsessed with a stranger
Allah Is Not Obliged,Ahmadou Kourouma,2000,-2,1,African child-soldier narrator
American Psycho,Bret Easton Ellis,1991,-2.5,-1,Yuppie male serial killer
American Tabloid,James Ellroy,1995,-3,0,Pre-JFK male political noir
Amongst Women,John McGahern,1990,-1,0,Irish patriarch and daughters
And Then There Were None,Agatha Christie,1939,0,-1,Mystery; mixed ensemble
Angel,Elizabeth Taylor,1957,2.5,0,Eccentric Edwardian female novelist
Animal Farm,George Orwell,1945,-1,-1,Allegorical farm satire
Arrow of God,Chinua Achebe,1964,-2,0,Igbo male priest under colonialism
Arturo's Island,Elsa Morante,1957,-1,-1,Boy's coming-of-age on Procida
At Swim-Two-Birds,Flann O'Brien,1939,-1.5,-1,Irish metafictional male student
Atonement,Ian McEwan,2001,1,1,Girl's lie destroys lives
Aubrey-Maturin Series,Patrick O'Brian,1969,-3,-1,Napoleonic-era Royal Navy
Aunt Julia and the Script-Writer,Mario Vargas Llosa,1977,-1,0,Young man and older woman in Lima
Barchester Towers,Anthony Trollope,1857,-1,-3,Duplicate
Bear,Marian Engel,1976,2,0,Woman has affair with a bear
Bee Sting,Paul Murray,2023,0,1,Irish family unraveling
Big Swiss,Jen Beagin,2023,2.5,1,Female transcriber's queer affair
Black Boy,Richard Wright,1945,-2,-1,Black male memoir Jim Crow South
Blindness,José Saramago,1995,0,0,Plague of blindness; ensemble
Boredom,Alberto Moravia,1960,-2,-1,Male artist's affair
Breath,Tim Winton,2008,-2,1,Australian boys surfing
Brideshead Revisited,Evelyn Waugh,1945,-1,-1,Catholic family; male narrator
Bridget Jones's Diary,Helen Fielding,1996,3,1,Singleton diary; female protagonist
By Grand Central Station I Sat Down and Wept,Elizabeth Smart,1945,3,0,Prose poem on female obsession
By Night in Chile,Roberto Bolaño,2000,-2.5,1,Male priest under Pinochet
By the Sea,Abdulrazak Gurnah,2001,-1.5,1,Zanzibari male refugees in England
Cartucho,Nellie Campobello,1931,-1.5,0,Mexican Revolution vignettes; female narrator
Cat's Cradle,Kurt Vonnegut,1963,-1.5,-1,Apocalyptic satire; male narrator
Caught,Henry Green,1943,-1.5,-1,WWII London fire service; male
Ceremony,Leslie Silko,1977,-2,1,Native American WWII veteran healing
Charlotte's Web,E. B. White,1952,1,-1,Girl and farm animals
Chéri,Colette,1920,2,-1,Older woman and young male lover
Chronicle of a Death Foretold,Gabriel García Márquez,1981,-1.5,0,Male honor killing in Colombian town
Citizen,Claudia Rankine,2014,1,2,Lyric essay on Black experience
Clarissa Harlowe,Samuel Richardson,1748,3,-3,Virtuous heroine epistolary
"Clarissa, Or, the History of a Young Lady",Samuel Richardson,1748,3,-3,Duplicate
Cloudstreet,Tim Winton,1991,0,0,Two Perth families share a house
Coming Through Slaughter,Michael Ondaatje,1976,-2,0,Buddy Bolden jazz fiction
Confessions of Zeno,Italo Svevo,1923,-2,-2,Italian male's psychoanalysis
Confessions of a Mask,Yukio Mishima,1949,-2,-1,Closeted gay Japanese man
Conversation in the Cathedral,Mario Vargas Llosa,1969,-2,0,Peruvian dictatorship; male voices
Couples,John Updike,1968,-1,-1,Suburban Massachusetts adultery
Cousin Bette,Honoré de Balzac,1846,2,-3,Spinster's revenge; Parisian society
Crooked Plow,Itamar Vieira Junior,2018,2,2,Brazilian sisters in rural Bahia
"Cry, the Beloved Country",Alan Paton,1948,-1,-1,South African male pastor's journey
Danny the Champion of the World,Roald Dahl,1975,-1.5,0,Boy and his father poach pheasants
Darkmans,Nicola Barker,2007,0,1,Thames Valley sprawling weirdness
Demons,Fyodor Dostoevsky,1872,-2.5,-3,Russian revolutionary men
"Detransition, Baby",Torrey Peters,2021,3,2.5,Trans women considering motherhood
Dr Gully,Elizabeth Jenkins,1972,1.5,0,Victorian-set female-led historical
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1886,-2,-2,Dual male identity gothic
"Ducks, Newburyport",Lucy Ellmann,2019,3,1,Ohio housewife's stream of consciousness
Earthsea,Ursula K. Le Guin,1968,-1,0,Coming-of-age fantasy series
Eighth Life,Nino Haratischvili,2014,2.5,1,Georgian women across the 20th century
Elders and Betters,Ivy Compton-Burnett,1944,1.5,-1,English family dialogue novel
Elective Affinities,Johann Wolfgang von Goethe,1809,0,-3,Quartet of attractions; mixed gender
Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,2023,2.5,1,Female academic studies faeries
Eugene Onegin,Alexander Pushkin,1833,-1.5,-3,Verse novel; male protagonist
Eugene Onegin,Alexander Pushkin,1833,-1.5,-3,Duplicate
Europe After the Rain,Alan Burns,1965,-1.5,0,Postwar surrealism; male narrator
Exit West,Mohsin Hamid,2017,0,1,Refugee couple's magical migration
Falling Man,Don DeLillo,2007,-1,1,9/11 male survivor
Family Life,Akhil Sharma,2014,-1,1,Indian-American brothers
Family and Friends,Anita Brookner,1985,1,0,European Jewish family in England
Farenheit 451,Ray Bradbury,1953,-1.5,-1,Dystopian book-burner male protagonist
Felicia's Journey,William Trevor,1994,1,0,Irish girl and predatory man
Fingersmith,Sarah Waters,2002,3,1,Victorian lesbian con artists
Fire and Hemlock,Diana Wynne Jones,1985,1.5,0,Girl and ballad fantasy
Flaubert's Parrot,Julian Barnes,1984,-1.5,0,Male doctor obsessed with Flaubert
Flowers for Algernon,Daniel Keyes,1959,-1,-1,Intellectually disabled male
Foster,Claire Keegan,2010,1.5,1,Irish girl fostered out
Freshwater,Akwaeke Emezi,2018,2,2,Nigerian woman with plural selves
Ghost Wall,Sarah Moss,2018,1.5,1,Teenage girl on Iron Age reenactment
Golden Age,Wang Xiaobo,1991,-1.5,1,Cultural Revolution male intellectual
Golden Hill,Francis Spufford,2016,-1.5,1,Colonial New York male trickster
Gone Girl,Gillian Flynn,2012,1.5,1,Marriage thriller; female antiheroine
"Good Morning, Midnight",Jean Rhys,1939,2.5,-1,Solitary woman in Paris
Gormenghast,Mervyn Peake,1950,-1,-1,Gothic male heir and castle
Grey King,Susan Cooper,1975,-1,0,Welsh fantasy; boy protagonist
Grief Is the Thing With Feathers,Max Porter,2015,-1,1,Widower and sons after wife's death
Hamnet,Maggie O'Farrell,2020,1.5,1,Shakespeare's wife and son's death
Haroun and the Sea of Stories,Salman Rushdie,1990,-1,0,Boy and his storyteller father
Heart so White,Javier Marías,1992,-1,0,Spanish male translator
Heat of the Day,Elizabeth Bowen,1949,1.5,-1,Wartime London woman's affair
Here,Richard McGuire,2014,0,1,Graphic novel single-room across time
Home,Marilynne Robinson,2008,1,1,Iowa minister's daughter and brother
Home to Harlem,Claude McKay,1928,-2,0,Black male soldier returns to Harlem
Hopscotch,Julio Cortázar,1963,-1.5,-1,Argentine male intellectual in Paris
Hotel Du Lac,Anita Brookner,1984,2.5,0,Solitary woman writer in Swiss hotel
House of Leaves,Mark Z. Danielewski,2000,-1,1,Metafictional male haunted house
House on the Borderland,William Hope Hodgson,1908,-1.5,-1,Edwardian male cosmic horror
"How Late It Was, How Late",James Kelman,1994,-2.5,0,Glaswegian blind ex-con
Humboldt's Gift,Saul Bellow,1975,-2,-1,Two male writers/intellectual life
Hurricane Season,Fernanda Melchor,2017,-1,2,Mexican village witch's murder
I Capture the Castle,Dodie Smith,1948,2.5,-1,Girl narrator in eccentric English family
I Served the King of England,Bohumil Hrabal,1971,-1.5,0,Czech male waiter through history
Ice,Anna Kavan,1967,1,0,Apocalyptic pursuit of a woman
If Beale Street Could Talk,James Baldwin,1974,1,0,Harlem couple; female narrator
If This Is a Man / the Truce,Primo Levi,1947,-2.5,-1,Auschwitz memoir; male
If on a Winter's Night a Traveller,Italo Calvino,1979,-0.5,-1,Metafictional Reader
If on a Winter's Night a Traveller,Italo Calvino,1979,-0.5,-1,Duplicate
In Cold Blood,Truman Capote,1966,-2.5,-1,Nonfiction novel about male killers
In Diamond Square,Mercè Rodoreda,1962,2.5,0,Barcelona woman through civil war
In the Distance,Hernán Díaz,2017,-2.5,1,Swedish boy crosses 19th-c. America
In the Skin of a Lion,Michael Ondaatje,1987,-1,0,Toronto male labourer
In the Time of the Butterflies,Julia Alvarez,1994,3,1,Mirabal sisters under Trujillo
Independant People,Halldór Laxness,1934,-2,-1,Icelandic male sheep farmer
Intermezzo,Sally Rooney,2024,-1,2,Brothers after father's death; relationships
Invitation to a Beheading,Vladimir Nabokov,1936,-1.5,-1,Imprisoned male awaits execution
Ivan Ilyitch,Leo Tolstoy,1886,-2,-3,Male bureaucrat facing death
James,Percival L. Everett,2024,-2,2,Jim's perspective on Huck Finn
Jonathan Strange & Mr. Norrell,Susanna Clarke,2004,-1,1,Two male magicians in Regency England
Joseph and His Brothers,Thomas Mann,1933,-2,-2,Biblical Joseph retelling
Journey by Moonlight,Antal Szerb,1937,-1,-1,Hungarian male honeymoon crisis
June Rain,Jabbour Douaihy,2006,-1,2,Lebanese village massacre aftermath
Kim,Rudyard Kipling,1901,-2,-1.5,Boy spy in British India
Klara and the Sun,Kazuo Ishiguro,2021,1,1,AI girl-companion narrator
La Princesse De Cleves,Madame de La Fayette,1678,3,-3,17th-c. female-led court romance
La Princesse De Cleves,Madame de La Fayette,1678,3,-3,Duplicate
Latecomers,Anita Brookner,1988,-0.5,0,Two male friends in London
Lead Us Into Temptation,Breandán Ó hEithir,1978,-1.5,0,Irish male coming-of-age
Leviathan,Paul Auster,1992,-1.5,0,Writer investigates dead male friend
Libra,Don DeLillo,1988,-2.5,0,Oswald/JFK male conspiracy
Lincoln in the Bardo,George Saunders,2017,-0.5,1,Lincoln and dead son in afterlife
Little Boy Lost,Marghanita Laski,1949,0,0,Father seeking lost son postwar
Love Me Tender,Constance Debré,2020,2.5,2,French lesbian divorce/custody
Love Medicine,Louise Erdrich,1984,1,1,Ojibwe family interconnected stories
Lucky Jim,Kingsley Amis,1954,-2,-1,Provincial male academic comedy
Mammoth,Eva Baltasar,2022,2.5,2,Lesbian narrator wanting motherhood
Maps,Nuruddin Farah,1986,-1,1,Somali boy and his foster mother
Marabou Stork Nightmares,Irvine Welsh,1995,-2.5,0,Edinburgh male hooligan in coma
Martyr!,Kaveh Akbar,2024,-1,2,Iranian-American addict-poet
Maus,Art Spiegelman,1986,-1.5,-1,Holocaust survivor son/father
McTeague,Frank Norris,1899,-2,-2,Naturalist tale of male dentist
Memento Mori,Muriel Spark,1959,0.5,-1,Elderly people receive death calls
Memoirs of Hadrian,Marguerite Yourcenar,1951,-2,-1,Roman emperor's reflections
Memory of Fire,Eduardo Galeano,1982,-1,0,Latin American history mosaic
Men in the Sun and Other Palestinian Stories,Ghassan Kanafani,1963,-2.5,1,Palestinian male refugees
Michael Kohlhaas,Heinrich von Kleist,1810,-2.5,-2,16th-c. male horse-trader revolt
Middlesex,Jeffrey Eugenides,2002,0.5,0,Greek-American intersex narrator
Milkman,Anna Burns,2018,2.5,1,Belfast young woman stalked by paramilitary
Mill on the Floss,George Eliot,1860,1.5,-3,Maggie Tulliver coming-of-age
Minor Detail,Adania Shibli,2017,1,2,Palestinian woman investigates wartime rape
Miss Marjoribanks,Margaret Oliphant,1866,3,-2,Victorian female social organizer
Miss Smilla's Feeling for Snow,Peter Høeg,1992,1.5,0,Greenlandic woman detective
Moderato Cantabile,Marguerite Duras,1958,1.5,-1,Bourgeois woman and dock worker
Molloy,Samuel Beckett,1951,-2,-2,Two male monologues
Moominland Midwinter,Tove Jansson,1957,0,-1,Moomintroll wakes from hibernation
Morvern Callar,Alan Warner,1995,2.5,0,Scottish young woman after boyfriend's suicide
Mrs. Palfrey at the Claremont,Elizabeth Taylor,1971,2.5,0,Elderly woman in residential hotel
Murphy,Samuel Beckett,1938,-2,-1.5,Irish male in London
Mussel Feast,Birgit Vanderbeke,1990,0.5,1,Family awaits tyrannical father
Nana,Émile Zola,1880,2.5,-2.5,Parisian courtesan
Nightcrawling,Leila Mottley,2022,2.5,2,Black teen sex worker Oakland
No Longer Human,Osamu Dazai,1948,-2,-1,Japanese male alienation
Normal People,Sally Rooney,2018,1,1,Irish couple's on/off relationship
North Woods,Daniel Mason,2023,0,1,New England house across centuries
North and South,Elizabeth Gaskell,1855,2,-3,Industrial north love story
Nostromo,Joseph Conrad,1904,-2,-2,South American silver mine; male
Notes From the Underground,Fyodor Dostoevsky,1864,-2.5,-3,Underground male monologue
Notre Dame De Paris,Victor Hugo,1831,-0.5,-3,Hunchback and Esmeralda
Noughts & Crosses,Malorie Blackman,2001,1,1,Race-reversed YA dystopia
Oblomov,Ivan Aleksandrovich Goncharov,1859,-2,-3,Lazy male landowner
Of Love and Other Demons,Gabriel García Márquez,1994,1.5,0,Colonial girl thought to be possessed
Old Filth Trilogy,Jane Gardam,2004,-0.5,1,Aging British colonial barrister
Omeros,Derek Walcott,1990,-1.5,0,St Lucian epic poem
On Earth We're Briefly Gorgeous,Ocean Vuong,2019,-1.5,2,Vietnamese-American queer son's letter
On the Edge of Reason,Miroslav Krleža,1938,-2,-1,Croatian male bourgeois rebel
One Thousand and One Nights,Anonymous,900,-1,-2,Frame of Scheherazade; many tales
One Thousand and One Nights,Scheherazade,900,-1,-2,Duplicate
Operation Shylock,Philip Roth,1993,-2.5,0,Roth doppelgänger metafiction
Ordinary People,Diana Evans,2018,1,2,Two Black British couples
Oscar & Lucinda,Peter Carey,1988,0.5,0,Victorian-era Australia; gambling pair
Overstory,Richard Powers,2018,-0.5,1,Activists and trees ensemble
Pachinko,Min Jin Lee,2017,2,1,Korean family in Japan generations
Parable of the Sower,Octavia E. Butler,1993,2,1,Black teen girl in dystopia
Passing,Nella Larsen,1929,2.5,0,Two Black women passing for white
Pickwick Papers,Charles Dickens,1837,-1.5,-3,Comic male club picaresque
Pig Earth,John Berger,1979,-1,0,French peasant village; mixed
Pnin,Vladimir Nabokov,1957,-1.5,-1,Russian émigré male professor
Pnin,Vladimir Nabokov,1957,-1.5,-1,Duplicate
Point Counter Point,Aldous Huxley,1928,-1,-1.5,Interwar intellectual ensemble
Poor,Caleb Femi,2020,-1,2,Peckham estate poetry
Portnoy's Complaint,Philip Roth,1969,-2.5,-1,Jewish male sexual monologue
Possessing the Secret of Joy,Alice Walker,1992,3,1,FGM and African woman's trauma
Problems,Jade Sharma,2016,2.5,2,Female addict's bleak comedy
Promise at Dawn,Romain Gary,1960,-1,-1,Autobio of son and mother
Proxopera,Benedict Kiely,1977,-1.5,0,Troubles novella; male teacher
Quartet in Autumn,Barbara Pym,1977,1.5,0,Four office workers nearing retirement
Quicksand,Nella Larsen,1928,3,0,Mixed-race woman seeks identity
Rabbit Is Rich,John Updike,1981,-2.5,-1,Rabbit Angstrom novel
Rabbit at Rest,John Updike,1990,-2.5,-1,Rabbit Angstrom novel
"Rabbit, Run",John Updike,1960,-2.5,-1,Rabbit Angstrom novel
Reading Turgenev,William Trevor,1991,2,0,Irish wife in mental institution
Record of a Night Too Brief,Kawakami Hiromi,1996,2,1,Surreal female-led stories
Red Badge of Courage,Stephen Crane,1895,-3,-2,Civil War male combat
Restoration,Rose Tremain,1989,-1,0,Restoration-era male physician
Restoration,Rose Tremain,1989,-1,0,Duplicate
Revolutionary Road,Richard Yates,1961,0,-1,Suburban couple's failing marriage
Rig Veda,Anonymous,-1500,-1,-2,Hindu sacred verses
"Right Ho, Jeeves",P. G. Wodehouse,1934,-1,-1,Bertie and Jeeves comedy
Robinson Crusoe,Daniel Defoe,1719,-2.5,-3,Shipwrecked male on island
Robinson Crusoe,Daniel Defoe,1719,-2.5,-3,Duplicate
Robinson Crusoe,Daniel Defoe,1719,-2.5,-3,Duplicate
Roxana,Daniel Defoe,1724,2.5,-3,Female courtesan picaresque
Sag Harbor,Colson Whitehead,2009,-1.5,1,Black teen boys summering on Long Island
Samskara,U. R. Anantha Murthy,1965,-2,0,South Indian Brahmin male crisis
Samuel Beckett Trilogy Molloy; Malone Dies; the Unnamable,Samuel Beckett,1951,-2,-2,Beckett trilogy of male monologues
Savushun,Simin Daneshvar,1969,2,1,Iranian woman during WWII occupation
Scattered All Over the Earth,Yoko Tawada,2018,1,2,Climate refugee Japanese woman
Scoop,Evelyn Waugh,1938,-2,-1,Foreign correspondent satire; male
Season of Migration to the North,Tayeb Salih,1966,-2,0,Sudanese male in England
Seasons of Anomy,Wole Soyinka,1973,-1,0,Nigerian political allegory
Seize the Day,Saul Bellow,1956,-2,-1,Male middle-aged failure NYC
Senseless,Paul Golding,2004,-2,1,Gay male memoir-novel
Shadows on the Rock,Willa Cather,1931,1.5,-1.5,Girl in 17th-c. Quebec
Siddhartha,Hermann Hesse,1922,-1.5,-1,Indian spiritual seeker male
Siddhartha,Hermann Hesse,1922,-1.5,-1,Duplicate
Silas Marner,George Eliot,1861,-0.5,-3,Lonely male weaver and adopted girl
Silent Spring,Rachel Carson,1962,1,-1,Environmental nonfiction by woman
