rank,title,handcoded_score,protagonist_gender,setting,violence,rationale
24,The Remains of the Day,-1,M,public,none,"Butler's professional restraint; missed love"
25,Lolita,-1,M,mixed,some,"Humbert's perverse pursuit; male voice predominates"
26,Don Quixote,-2,M,public,some,"Knight errantry; male picaresque adventure"
27,The Trial,-1,M,public,some,"Josef K's bureaucratic nightmare"
28,The Brothers Karamazov,-2,M,mixed,high,"Father and three sons; murder; philosophy"
29,Pale Fire,-1,M,public,some,"Two male academics; metafictional commentary"
30,Frankenstein,-0.5,M,mixed,high,"Victor's male obsession but Shelley's body/creation themes complicate"
31,The Prime of Miss Jean Brodie,3,F,domestic,none,"Edinburgh girls' school; teacher and pupils"
32,The God of Small Things,2,mixed,domestic,some,"Twins; Kerala family; forbidden love; domestic tragedy"
33,David Copperfield,-1,M,mixed,some,"Male bildungsroman across English life"
34,Wolf Hall,-0.5,M,public,some,"Cromwell male-coded subject but Mantel's intimate modernist style"
35,Great Expectations,-0.5,M,mixed,some,"Pip's bildungsroman, but Estella / Miss Havisham / Biddy are major"
36,The Handmaid's Tale,3,F,domestic,high,"Reproductive dystopia centred on enforced motherhood"
37,Invisible Man,-1,M,public,some,"Unnamed Black narrator's identity quest in mid-century America"
38,The Age of Innocence,1.5,mixed,domestic,none,"NY high-society triangle; female-coded milieu through Newland's male eyes"
39,Their Eyes Were Watching God,2.5,F,domestic,some,"Janie's three marriages and self-realisation"
40,Song of Solomon,-1,M,mixed,some,"Milkman's masculine quest into family history"
41,Heart of Darkness,-2,M,public,high,"Marlow's Congo journey; all-male; colonial violence"
42,The Magic Mountain,-1,M,public,none,"Hans Castorp at Alpine sanatorium; European intellectual"
43,Housekeeping,2.5,F,domestic,none,"Ruth/Lucille with transient aunt; female lineage; Idaho"
44,Giovanni's Room,-0.5,M,domestic,some,"Gay male couple; intimate small-scale Paris interior"
45,The Golden Notebook,2,F,mixed,none,"Anna Wulf; female writer; politics; motherhood; sex"
46,The Leopard,-1,M,public,some,"Sicilian aristocrat watching old world die; political"
47,Vanity Fair,1,mixed,mixed,some,"Becky Sharp's ambition + ensemble panorama"
48,The Metamorphosis,-0.5,M,domestic,none,"Gregor Samsa; domestic family setting tempers the male protagonist"
49,A Fine Balance,0,mixed,mixed,high,"Bombay; four characters across class; state violence"
50,Wide Sargasso Sea,2.5,F,domestic,some,"Antoinette's gothic Caribbean backstory; female perspective"
51,My Brilliant Friend,3,F,domestic,some,"Elena and Lila friendship across Naples girlhood"
52,The Golden Bowl,1.5,mixed,domestic,none,"Maggie/Prince/Charlotte; equally weighted female perspectives"
53,The Transit of Venus,2.5,F,mixed,none,"Two Australian sisters; postwar love and intellect"
54,Orlando,1,mixed,mixed,none,"Sex-changing protagonist; explicitly gender-theorising"
55,The Waves,0,mixed,mixed,none,"Six voices, three of each sex"
56,Mansfield Park,3,F,domestic,none,"Fanny Price; estate; marriage plot"
57,The Sound and the Fury,-0.5,mixed,domestic,some,"Compson brothers narrating about absent sister Caddy"
58,Disgrace,-2,M,public,high,"David Lurie; sexual scandal; rape; post-apartheid violence"
59,Never Let Me Go,1.5,F,mixed,some,"Kathy H's elegiac narration; clones; friend triangle"
60,Howards End,1.5,mixed,domestic,none,"Schlegel sisters drive the narrative; Wilcox men as foils"
61,The Rings of Saturn,-1,M,public,none,"Male narrator walking Suffolk; history; melancholy"
62,Half of a Yellow Sun,0,mixed,mixed,high,"Biafran war; multiple POVs; women and men"
63,White Teeth,0,mixed,mixed,some,"Two London families; multi-ethnic ensemble"
64,The Good Soldier,-0.5,M,mixed,some,"Dowell narrates two-couple affair, evenly split"
65,The Color Purple,3,F,domestic,high,"Celie's epistolary; Black women; abuse and sisterhood"
66,The Master and Margarita,0,mixed,mixed,some,"Devil in Moscow; Master/Margarita romance; satire"
67,The Man Without Qualities,-2,M,public,none,"Ulrich; pre-WWI Vienna; philosophy"
68,Blood Meridian,-3,M,public,high,"Glanton scalp-hunters; all-male; relentless ultraviolence"
69,Crime and Punishment,-2,M,public,high,"Raskolnikov's murder; St Petersburg; philosophy"
70,Jude the Obscure,0.5,mixed,mixed,some,"Jude is the title but Sue Bridehead is co-equal in weight"
71,Kindred,2,F,mixed,high,"Dana time-travels into antebellum slavery; F protagonist"
72,Our Mutual Friend,0,mixed,mixed,some,"London ensemble; dust heaps; double marriage plots"
73,Austerlitz,-1,M,public,some,"Jacques Austerlitz; Kindertransport; Holocaust trauma"
74,Nervous Conditions,2.5,F,domestic,some,"Tambu; Zimbabwean girl's education and family"
75,The Bluest Eye,3,F,domestic,high,"Pecola; Black girlhood; beauty standards; abuse"
76,Dracula,-1,mixed,mixed,high,"Mina present but male hunting party central; gothic violence"
77,The Rainbow,1.5,mixed,domestic,some,"Brangwen women across generations; Ursula's awakening"
78,A House for Mr Biswas,-1,M,mixed,none,"Mr Biswas; Trinidadian patriarch's striving"
79,Go Tell It on the Mountain,-0.5,M,domestic,some,"John; Harlem Pentecostal family + female elders"
80,Rebecca,3,F,domestic,some,"Anonymous female narrator; Manderley; first-wife gothic"
81,Buddenbrooks,0,mixed,domestic,none,"Lübeck merchant family across generations"
82,The End of the Affair,1,mixed,mixed,none,"Bendrix and Sarah; love and Catholic doubt"
83,A Farewell to Arms,-2,M,public,high,"Italian front WWI; Frederic Henry; ambulance corps"
84,The Talented Mr Ripley,-2,M,public,high,"Ripley's conman violence; male queer obsession"
85,The Vegetarian,2.5,F,domestic,some,"Yeong-hye refuses meat; body politics; family"
86,The Turn of the Screw,2,F,domestic,some,"Governess narrator; ghostly children; country house"
87,The Line of Beauty,-0.5,M,mixed,none,"Nick Guest; intimate gay 80s London; Tory family"
88,Ragtime,0,mixed,public,some,"Turn-of-century America; ensemble incl. Houdini, Emma Goldman"
89,The Left Hand of Darkness,0,mixed,public,some,"Ambisexual planet; explicitly de-gendering"
90,Jacob's Room,-0.5,M,public,high,"Jacob Flanders mostly seen through female observers; Woolf's elliptical method"
91,Life and Fate,-2,mixed,public,high,"Stalingrad; WWII; sprawling but war-centred"
92,Sentimental Education,-1,M,mixed,some,"Frédéric Moreau; 1840s Paris politics and loves"
93,Invisible Cities,0,none,public,none,"Marco Polo describes imaginary cities; no human plot"
94,The Known World,-1,mixed,public,high,"Antebellum Virginia; Black slaveholder ensemble"
95,The Return of the Native,0.5,mixed,mixed,some,"Clym and Eustacia on Egdon Heath; tragic love, evenly split"
96,Pedro Páramo,-1,M,mixed,high,"Juan seeks dead father in Comala; cacique violence"
97,Catch-22,-3,M,public,high,"WWII bomber squadron; all-male; absurd war"
98,The Road,-2,M,public,high,"Father and son cross postapocalyptic America"
99,The Go-Between,0,mixed,domestic,none,"Boy narrator carries letters for adult lovers"
100,My Ántonia,1,mixed,mixed,none,"Jim narrates immigrant Ántonia's prairie life"
