rank,title,author,open_library_id,vote_count,blurb
22,Things Fall Apart,Chinua Achebe,OL891786W,14,"A cornerstone of African literature, Achebe’s debut novel reshaped world literature. Set in 1890s Nigeria, it recounts the life of Okonkwo, a proud Igbo warrior, as colonial governors and Christian missionaries arrive in his village, disrupting the traditional tribal way of life. Looking back on his 18-year imprisonment on Robben Island, Nelson Mandela described how when he read it, “the prison walls fell down”."
23,Midnight's Children,Salman Rushdie,OL457179W,13,"In the hour after midnight on 15 August 1947, the beginning of India’s independence from British colonial rule and its partition from Pakistan, 1,001 children are born with supernatural powers. This exuberant magic realist epic, a dazzling allegory of the ensuing decades, won both the Booker of Bookers in 1993 and the Best of the Booker in 2008."
24,The Remains of the Day,Kazuo Ishiguro,OL59048W,13,"The Nobel laureate’s Booker winner is narrated by the emotionally repressed Stevens, a butler taking his first holiday from Darlington Hall, the grand stately home where he has worked for more than 30 years. As he looks back from 1956, it becomes clear that he has wasted his life in devotion to professional duty, loyalty to his Nazi-sympathising master thwarting any chance of personal happiness. A 1993 Merchant Ivory screen adaptation of the book starred Anthony Hopkins and Emma Thompson."
25,Lolita,Vladimir Nabokov,OL627084W,13,"The confession of paedophile Humbert Humbert, literature’s most dazzlingly unreliable narrator, is an endlessly controversial high-wire act. Published in France by Olympia Press, an imprint better known for releasing pornographic pulp, the first print run was just 5,000 copies. Branded obscene, the novel was swiftly banned there, and around the world, censors keeping copies out of the UK until 1959 and Australia until 1965. Writing in the Spectator, Kingsley Amis called it “bad as a work of art, and morally bad”. In his introduction to the 1992 Everyman edition his son Martin Amis hailed its brilliance, writing: “In common with its narrator, it is both irresistible and unforgivable.” It has now sold more than 50m copies."
26,Don Quixote,Miguel de Cervantes,OL503666W,11,"This exuberant satire of chivalric romance – in which a middle-aged Spanish man who reads too many books decides to become a knight, enlisting a farmhand as his squire – is a sprawling comic portrait of obsession, friendship and the gulf between imagination and reality. It’s often seen as the first modern novel; part two, published a decade after the first in response to an impostor’s follow-up, included characters who had read part one – metafiction in the 17th century. The Don has given his name to an adjective for impractical, impulsive idealism."
27,The Trial,Franz Kafka,OL498463W,11,"Kafka’s literary executor defied his request to burn all unpublished manuscripts after his death, and this unfinished fable of bureaucratic oppression, in which Josef K is inexplicably victimised by a shadowy authority, was published posthumously. Written during the first world war, it seems to prefigure both the totalitarianism and existential dread of the decades to come."
28,The Brothers Karamazov,Fyodor Dostoevsky,OL10432709W,10,"Dostoevsky’s final novel, in which the murder of a cruel landowner throws suspicion on to his sons, tackles the biggest questions: good, evil, free will, original sin and the possibility of human redemption, all explored against the backdrop of a Russia in the grip of seismic social change. Both Einstein and Freud thought it the best novel ever written."
29,Pale Fire,Vladimir Nabokov,OL627081W,10,"A metafictional delight presenting a 999-line poem by a poet called John Shade, which is subverted by the commentary appended by his neighbour and colleague. Critics have argued endlessly over how to read this slyly witty meditation on meaning and madness; Nabokov described it as “full of plums that I keep hoping somebody will find” – including a minor character called Pnin and a hurricane by the name of Lolita."
30,Frankenstein,Mary Shelley,OL450063W,10,"Shelley was just 18 when she began work on Frankenstein, as part of a ghost story competition suggested by Byron during a rainy holiday on the banks of Lake Geneva. The tale of a scientist discovering the spark of life to create an 8ft-tall humanoid – sensitive, self-educated, vegetarian, but furiously vengeful after rejection by his progenitor – has become an essential part of the culture."
31,The Prime of Miss Jean Brodie,Muriel Spark,OL26437W,10,"“Give me a girl at an impressionable age and she is mine for life,” announces Spark’s charismatic teacher in this elegantly sinister study of favouritism, fascism and the power of persuasive fictions. Spark draws the reader into Miss Brodie’s cultured and elite clique – the “crème de la crème” – only to reveal that her romantic lessons on life and love hide a darker desire to control and manipulate."
32,The God of Small Things,Arundhati Roy,OL1052133W,10,"Following seven-year-old twins Rahel and Estha as they move with their mother to their grandparents’ home in the Kerala village of Ayemenem, Roy’s debut novel won the Booker prize and was an instant bestseller. The novel faced criticism and a legal case in India for alleged obscenity and criticism of the caste system. Roy remains a vocal critic of the Indian government, but didn’t write another novel for 20 years."
33,David Copperfield,Charles Dickens,OL8662242W,10,"Dickens wrote: “of all my books I like this best”. Partly autobiographical, it follows the eponymous hero from impoverished childhood to adult success as a respected author. Stuffed with memorable characters, from his eccentric great aunt Betsey Trotwood to the “ever so humble” Uriah Heep, it was a critical and commercial smash. Barbara Kingsolver’s 2022 reimagining, Demon Copperhead, transposed the action from early Victorian England to opioid-ravaged Appalachia to explore similar themes of injustice and social mobility."
34,Wolf Hall,Hilary Mantel,OL464512W,10,"The first instalment of Mantel’s epic three-part account of Thomas Cromwell’s ascent at the court of Henry VIII won her the Booker prize – the follow-up, Bring Up the Bodies, made her the first woman and first British writer to win the prize twice. The first line of Wolf Hall came to Mantel upon waking up one morning."
35,Great Expectations,Charles Dickens,OL8721462W,9,"From the opening graveyard scene where orphan Pip first encounters the convict Magwitch, Dickens’s coming-of-age novel grips the imagination and doesn’t let go. A story of social mobility and moral corruption, its cast of unforgettable characters includes jilted spinster Miss Havisham, who haunts her mansion in tattered veil and gown, training her young charge Estella to take revenge on men. On the advice of friends, Dickens reluctantly changed his original ending to one that allowed for the possibility that Pip and Estella end up together."
36,The Handmaid's Tale,Margaret Atwood,OL675783W,9,"“One of my rules was that I would not put any events into the book that had not already happened.” Atwood’s dystopia draws on real-world oppression, from early American puritans to the Islamic revolution in Iran, to create a chillingly plausible fundamentalist America in which women are forbidden to read and write, with “handmaids” used as brood mares for the elite."
37,Invisible Man,Ralph Ellison,OL495470W,9,"The only one of Ellison’s novels published during his lifetime, Invisible Man is a landmark exploration of race and identity in 20th-century America. Ellison spent seven years writing the novel, which follows an unnamed Black narrator confronting racism and his own sense of self. It won the 1953 US National book award, making Ellison the first African American writer to receive the prize, and has had a lasting influence, cited by Barack Obama as a major inspiration for his memoir Dreams from My Father."
38,The Age of Innocence,Edith Wharton,OL98491W,9,"Set in 1870s upper-class, gilded age New York, Wharton’s eighth novel is a closely observed portrait of manners, desire and social constraint. It won the 1921 Pulitzer prize for fiction, making Wharton the first woman to receive the award. (The jury had originally chosen Sinclair Lewis’s Main Street, but the trustees rejected it as unwholesome.) It has been adapted for screen numerous times, most famously in Martin Scorsese’s 1993 film, starring Daniel Day-Lewis, Michelle Pfeiffer and Winona Ryder."
39,Their Eyes Were Watching God,Zora Neale Hurston,OL27778127W,8,"Hurston’s second novel, written in seven weeks, was published at the twilight of the Harlem Renaissance, and is now considered a classic of the movement, particularly for its incorporation of folklore and southern African American dialect. The novel follows the life and romantic trials of Janie, who has two doomed marriages before meeting her real love, Tea Cake, who lets her be free."
40,Song of Solomon,Toni Morrison,OL50564W,7,"Following the life of Macon “Milkman” Dead III as he grows up in mid-century Michigan and later travels through the South in search of family history and a sense of belonging, Song of Solomon was Morrison’s breakout novel. She wrote much of it while working full-time as an editor at Random House, often drafting it in the early mornings before her children woke."
41,Heart of Darkness,Joseph Conrad,OL38663W,7,"Conrad drew on his 1890 journey to Congo Free State, a private colony under vicious subjugation by the Belgian king, for the story of a sea captain’s mission to find a European ivory trader who has gone rogue. The novella revealed the monstrosity at the heart of the imperial project, but has drawn its own accusations of racism – not least from Chinua Achebe, whose riposte Things Fall Apart appears at No 22 on our list. The 1979 film Apocalypse Now, starring Marlon Brando as Colonel Kurtz, brilliantly transposes the horror to Vietnam and Cambodia."
42,The Magic Mountain,Thomas Mann,OL14866824W,7,"Mann’s epic tale of European civilisation on the brink of war takes place in an unlikely setting: an otherworldly tuberculosis sanatorium high in the Swiss Alps. After making the questionable decision to visit his cousin, who is undergoing a course of treatment there, Hans Castorp finds himself unable to leave – and beguiled by the philosophical, political and romantic currents that seem to converge there. The sanatorium Mann based his story around is now a hotel that hosts attendees of the World Economic Forum in nearby Davos."
43,Housekeeping,Marilynne Robinson,OL1875010W,7,"What is home? What is family? What makes for a good life? Robinson’s mysterious, dreamlike novel probes profound questions in richly metaphorical prose. A study of loss and loneliness, it centres on orphaned sisters Ruthie and Lucille Stone, who live in a lakeside house in the fictional town of Fingerbone in remote north-west America, under the care of their eccentric guardian Aunt Sylvie. Robinson has said that Fingerbone was based on the town where she grew up, and that the vastness of that landscape “had a huge religious implication for me”."
44,Giovanni's Room,James Baldwin,OL228702W,7,"Before the release of Giovanni’s Room, Baldwin had been acclaimed for Go Tell It on the Mountain (on our list at 79), a novel rooted in his adolescence in 1930s Harlem that led many to position him as a writer of “Black fiction”. It was a label he resisted, and for his next novel, he chose to explore homosexuality and masculinity through the perspective of white characters. The book was highly controversial for its candid depiction of sexuality, desire and internalised homophobia, and rejected several times before its publication."
45,The Golden Notebook,Doris Lessing,OL31259W,7,"Blending political critique with psychological realism and an experimental form, The Golden Notebook explores communism, anti-Stalinism, the sexual revolution and the contradictions of women’s liberation. Lessing, an outspoken critic of apartheid who was banned from South Africa and Rhodesia in 1956, was deeply engaged in the political currents of her time. Reflecting on the novel’s feminist legacy, she said in a 1994 interview: “Things have changed for white, middle-class women, but nothing has changed outside this group.”"
46,The Leopard,Giuseppe Tomasi di Lampedusa,OL2386322W,6,"An old order crumbles in this exquisitely styled, gem-like novel as the head of an aristocratic family witnesses its power and prestige gradually dissolve in the political upheaval of Italian unification. The passing of time and the ephemeral nature of power are the themes of Lampedusa’s only novel, which came out posthumously after being rejected by publishers in his lifetime. Lampedusa was the last in a line of princes; the Italian title Il Gattopardo actually refers to a different big cat, the serval, which appears in the Lampedusa coat of arms."
47,Vanity Fair,William Makepeace Thackeray,OL16313W,6,"Early versions of Vanity Fair carried the subtitle A Novel Without a Hero, reflecting Thackeray’s rejection of Victorian fiction’s saintly heroines and cartoonish villains. Set during the Napoleonic era, it is a satire of social ambition, its characters shifting between virtue and vanity. Its legacy endures, perhaps most famously living on in the title of the lifestyle magazine."
48,The Metamorphosis,Franz Kafka,OL498556W,6,"Kafka took just three weeks to write his absurdist novella about Gregor Samsa, the travelling salesman who wakes to find himself transformed into a bug. The story has been endlessly referenced and reimagined, from the cover of the Rolling Stones’s 1975 compilation album featuring the band members as bugs, to Ian McEwan’s 2019 novella The Cockroach, in which an insect takes over the body of the UK prime minister."
49,A Fine Balance,Rohinton Mistry,OL2980902W,6,"Mistry originally conceived of A Fine Balance as a short novel. Starting simply with the image of a woman at a sewing machine, it subsequently grew into a 700-page epic, as Mistry became increasingly absorbed in the backstories of the tailors and the student who come to share the seamstress's life. Set in an unidentified city in India, initially during the emergency in 1975 and later in 1984, it follows four strangers from distinct backgrounds whose lives are brought together as they navigate political repression and poverty."
50,Wide Sargasso Sea,Jean Rhys,OL1858668W,6,"This postcolonial prequel to Jane Eyre takes up the story of the first Mrs Rochester. Swapping Charlotte Brontë’s cold, dark gothic for the oppressive sunshine of the Caribbean, Dominica-born Rhys reimagines Brontë’s notorious “madwoman in the attic” as a Creole heiress called Antoinette Cosway. After decades of obscurity, its critical success propelled Rhys back into the spotlight at the age of 76, with Angela Carter hailing the novel as “a complete reimagining of what literature can do”."
51,My Brilliant Friend,Elena Ferrante,OL16520879W,6,"The first in Ferrante’s Neapolitan Quartet, My Brilliant Friend follows Lila and Lenù, two girls growing up in a poor neighbourhood in 1950s Naples. The intensity and rivalry of their friendship is set against a backdrop of social and political upheaval as the girls struggle to escape their suffocating community. Translated by Ann Goldstein, the novel became a global phenomenon, leading to fierce speculation about the pseudonymous author’s true identity."
52,The Golden Bowl,Henry James,OL276338W,5,"Henry James’s final completed novel is a study of marriage, adultery and the meeting of English and American cultures. It focuses almost exclusively on the consciousness and interiority of the central characters – as a result, contemporary readers and critics often found the novel impenetrable. Now, however, it is regarded as one of the key works of James’s “late phase”, alongside The Wings of the Dove and The Ambassadors."
53,The Transit of Venus,Shirley Hazzard,OL103066W,6,"Two orphan sisters, Caroline and Grace Bell, leave Australia for postwar England, attempting to build new lives amid shifting social landscapes. Often compared to Henry James for its psychological precision, Hazzard rejected the influence in a 2006 Guardian interview, saying: “There is a myth that I was raised on James. I had hardly read anything of him when I started to write.” She added: “I think I’m funnier than Henry James.”"
54,Orlando,Virginia Woolf,OL39360W,5,"Woolf’s lover and muse Vita Sackville-West inspired this fabulous fictional biography of Orlando, who begins the book as a young nobleman in Elizabethan England, travels to Constantinople, and later transforms into a woman. Spanning 300 years, it is a satire on gender roles and, as Sackville-West’s son Nigel Nicolson famously described it, “the longest and most charming love letter in literature”. Tilda Swinton starred as the immortal poet in Sally Potter’s acclaimed 1992 film adaptation."
55,The Waves,Virginia Woolf,OL39316W,5,"This poetic, experimental novel follows six friends from nursery to old age through interconnected interior monologues. In 1929, as she began her modernist masterpiece, Woolf wrote in her diary: “I think I am about to embody at last the exact shapes my brain holds.”"
56,Mansfield Park,Jane Austen,OL66530W,5,"Austen’s third novel follows impoverished Fanny Price, sent to live with her wealthy aunt and uncle Bertram at their grand estate. A follow-up to Pride and Prejudice, the novel sold out within six months, though with themes of loneliness, religion, class and colonialism, it proved less critically popular than its predecessors. It was later re-evaluated by postcolonial and feminist academics, most notably in Edward Said’s Jane Austen and Empire (1993)."
57,The Sound and the Fury,William Faulkner,OL82870W,5,"The tale of a troubled family in the decaying American south, with daughter Caddy’s tragedy seen from the perspectives of her three brothers and a Black servant. Opening with the stream-of-consciousness thoughts of Benjy, who has severe intellectual disabilities, it’s notoriously challenging; though it was instrumental in winning Faulkner a Nobel, he admitted it was also “a real son-of-a-bitch”. His advice for those still struggling with his work after reading it two or three times? “Read it four times.”"
58,Disgrace,JM Coetzee,OL500451W,5,"Coetzee’s South African masterpiece is a dark, destabilising account of sexual violence and the aftermath of apartheid. It made him the first author to win the Booker prize twice (his first win was for Life & Times of Michael K in 1983), though he declined to attend the ceremonies. In 2002, he emigrated to Australia, and the following year was awarded the Nobel prize in literature."
59,Never Let Me Go,Kazuo Ishiguro,OL59038W,5,"Deceptively simple yet devastating. In Ishiguro’s sixth novel 31-year-old Kathy looks back at her childhood at Hailsham, a boarding school that we soon discover harbours a dark secret – why and for what purpose Kathy and her friends were created. Twenty years on, it remains Ishiguro’s most read novel. As he noted in a recent Guardian interview, “I’ve been praised for producing stuff that makes people cry. They gave me a Nobel prize for it.”"
60,Howards End,EM Forster,OL88881W,5,"Often glossed as a tale of two families and two contrasting approaches to life – the spirited and idealistic, the worldly and compromised – this is also a story about money: despite their apparent differences, the Schlegels and the Wilcoxes both “stand upon money as upon islands. It is so firm beneath our feet that we forget its very existence.” The fact that this isn’t the case for everyone intrudes dramatically into the plot. The Guardian’s February 1910 review described it as a book of “immense liberality”."
61,The Rings of Saturn,WG Sebald,OL46611W,5,"A nameless narrator walks the Suffolk coast, musing on the weight of the past: from Chinese empresses to English imperialism, silkworms to the herring industry, Rembrandt to bombing campaigns. After Sebald’s death, a memorial bench in the shape of Saturn’s rings was built around a copper beech tree at the University of East Anglia, where he was a professor."
62,Half of a Yellow Sun,Chimamanda Ngozi Adichie,OL5731542W,5,"Set in the 1960s during the Biafran war, Adichie’s second novel won the Women’s prize for fiction and became a bestseller. Inspired by her father’s memories of the war, in which both her grandfathers died, the novel follows the fortunes of houseboy Ugwu, and is a searing account of violence, politics, love and betrayal."
63,White Teeth,Zadie Smith,OL481143W,5,"This smart, funny, big-hearted novel bounces around multicultural north-west London, where Smith grew up. A sprawling, multigenerational saga, its cast includes British Army vet Archie Jones and his best friend Samad Iqbal, an Islamist terrorist group with the acronym “Kevin”, a Jewish scientist genetically engineering a FutureMouse and Jehovah’s Witnesses who think that the world is about to end. Published to rapturous reviews when she was just 24 years old, this dazzling debut went on to sell 2m copies and launch a literary star."
64,The Good Soldier,Ford Madox Ford,OL509889W,5,"Ford hated the title of his torrid tale of adultery, chaos and suicide among two couples: a novel dripping in irony, with a narrator who is not to be trusted. He’d wanted to call it The Saddest Story, a title thought too downbeat by his publishers during a time of war. Ford’s messy personal life chimes with his fiction: an affair with Jean Rhys inspired novels by him, her and Rhys’s husband."
65,The Color Purple,Alice Walker,OL273644W,4,"An extraordinary late flowering of the epistolary novel, it tells a powerfully moving story of abuse, love and female solidarity through letters sent by its heroine, Celie, initially to God, and then to her sister, Nettie. Across 30 years in the Jim Crow south, she records the worst and the best of humanity. The 1985 film adaptation, directed by Steven Spielberg, starred Whoopi Goldberg and Oprah Winfrey."
66,The Master and Margarita,Mikhail Bulgakov,OL676009W,5,"In this satire of the Soviet Union, written between 1928 and 1940, the devil and his entourage – including a vampire and an enormous black cat – cause mayhem in officially atheistic Moscow. Like his character the Master, who is writing a novel about Pontius Pilate, and fearing censorship and persecution by the authorities, Bulgakov burned the first manuscript in 1930; the darkly playful fable of good and evil went on to inspire the Rolling Stones’s Sympathy for the Devil."
67,The Man Without Qualities,Robert Musil,OL1330246W,4,"More than 20 years in the writing, exceeding 1,000 pages in three unfinished volumes, this modernist masterpiece from an author widely seen as the Austrian Proust is set in 1913 Vienna, in the dying days of the Austro-Hungarian empire. The protagonist is a mathematician in the grip of existential crisis, reflecting on the meaning and meaninglessness of the world around him. “No novelist is dearer to me,” said Milan Kundera."
68,Blood Meridian,Cormac McCarthy,OL40879W,4,"This brutal anti-western, McCarthy’s fifth novel, is partly the coming-of-age story of 14-year-old Tennessean “the kid”, who winds up joining a band of violent outlaws. Here, McCarthy fictionalises the atrocities of the Glanton gang, a group of white “scalp hunters” who terrorised Indigenous people on the US-Mexico border in the mid-19th century. Praised for its lyricism, the novel is widely considered McCarthy’s magnum opus."
69,Crime and Punishment,Fyodor Dostoevsky,OL40766966W,4,"In a novel that brilliantly exposes the gulf between sterile theorising and real human relations, impoverished former student Raskolnikov decides to commit a murder to prove a point – that some people are of no consequence, while others are so extraordinary that moral laws don’t apply to them. Unfortunately, his conscience doesn’t cooperate. Racked by guilt, haunted by bad dreams and encouraged by the woman he comes to love, he is driven to confess."
70,Jude the Obscure,Thomas Hardy,OL44986W,4,"Dubbed “Jude the Obscene” on publication, Hardy’s final novel follows working-class stonemason Jude Fawley, who longs for an education. Hardy’s most overtly political novel, it explores controversial themes of class, religion, bigamy and a critique of marriage. The critical reception was so harsh, Hardy never wrote another novel, and turned instead to poetry, but it has since been celebrated as a powerful and radical critique of Victorian society."
71,Kindred,Octavia E Butler,OL35616W,4,"Described by the author as a “grim kind of fantasy”, Kindred is a landmark speculative novel that blends time travel with the brutal realities of American slavery. The story follows a modern Black woman repeatedly pulled back into the antebellum south, and explores the legacy of racist violence and the complexities of interracial relationships. A defining work of Afrofuturism, which fuses science fiction with racial justice, the novel has become one of Butler’s most influential and enduring works."
72,Our Mutual Friend,Charles Dickens,OL41368739W,4,"Money, hidden identities, the dust that London is built on: Dickens’s final completed novel continues his fascination with melodrama, class and mortality. While writing the serial, he had his own brush with death, rescuing the manuscript from a traumatic train crash. Contemporary readers thought the book overcomplicated, but 20th-century critics found it to prefigure modernist experimentation and the end of Victorian certainties."
73,Austerlitz,WG Sebald,OL46615W,4,"The German writer’s melancholy, otherworldly books combine travel writing, biography, history and fiction, interposed with mysterious black and white photographs, to create a new genre and way of seeing – the Sebaldian. All are a response to the trauma of the Holocaust; this final book, about an architectural historian who escaped the Nazis on a Kindertransport, made him a contender for the Nobel, but he was to die the same year in a car crash at only 57."
74,Nervous Conditions,Tsitsi Dangarembga,OL17661158W,4,"The first novel published in English by a Black woman from Zimbabwe, Dangarembga’s semi-autobiographical debut tells the story of a rural girl’s dreams of education and escape. Now the first part of a trilogy, this instalment won the Commonwealth Writers’ prize and became a key text in postcolonial literature. The most recent, This Mournable Body, was shortlisted for the Booker in 2020. In the same year, she was arrested in Harare for her part in an anti-government demonstration. A conviction in 2022 was overturned a year later."
75,The Bluest Eye,Toni Morrison,OL50565W,4,"Eleven-year-old Pecola Breedlove dreams of having blue eyes like Shirley Temple. As she grows up in Lorain, Ohio (where Morrison was born) after the depression, life has taught Pecola that she is too small, too ugly and too Black. By putting a Black girl at the centre of her story, Morrison’s slim, devastating first novel changed American fiction. But it would be many years before her achievement was recognised. “The initial publication of The Bluest Eye was like Pecola’s life: dismissed, trivialised, misread,” she wrote in 1993."
76,Dracula,Bram Stoker,OL85892W,4,"Never out of print, this epistolary gothic horror – in which an English solicitor visits the castle of a Transylvanian nobleman who turns out to be a vampire, and who later lands by boat at Whitby on a mission to terrorise London – occupies a huge place in the culture. Stoker added details to existing folklore that have since become canon: that vampires must be invited over the threshold, and that they have no reflection in mirrors."
